src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,44.158.223.242,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.494,0.323,0.228,0.03,0.474,0.326,0.209,1,0,0,0,0,0,0.0,44.158.223.242,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,140.3.74.193,1,1,6,4,275,164,40,52,45.83,5.84,40,44,41.0,1.73,0.0,1.184,0.655,0.537,0.015,1.139,0.4,0.523,1,0,0,0,0,0,-1.0,140.3.74.193,ENTES AS,Power Meter:23000102,ENTES,3
192.168.158.111,84.85.239.201,1,1,3,0,156,0,52,52,52.0,0.0,0,0,0.0,0.0,1.007,2.003,1.505,0.498,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,84.85.239.201,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8
192.168.158.111,1.52.221.145,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.318,0.211,0.149,0.003,0.316,0.21,0.146,1,0,0,0,0,0,0.0,1.52.221.145,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,110.185.123.120,1,1,5,4,223,221,40,52,44.6,5.64,40,89,55.25,20.09,0.0,0.669,0.338,0.236,0.307,0.362,0.336,0.023,1,0,0,0,0,0,0.306589,110.185.123.120,Schneider Electric,Power Meter:PM5111,Schneider,10
192.168.158.111,194.244.72.245,1,1,3,0,156,0,52,52,52.0,0.0,0,0,0.0,0.0,1.004,2.001,1.502,0.498,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,194.244.72.245,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,157.124.147.185,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.246,0.277,0.254,0.013,0.001,0.277,0.192,0.111,1,0,0,0,0,0,0.0,157.124.147.185,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,157.124.147.184,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.247,0.278,0.256,0.013,0.001,0.278,0.193,0.112,1,0,0,0,0,0,0.0,157.124.147.184,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,194.199.194.12,1,1,5,6,223,296,40,52,44.6,5.64,40,96,49.33,20.87,0.0,0.369,0.273,0.157,0.0,0.391,0.224,0.183,1,0,0,0,0,0,0.0,194.199.194.12,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,214.167.53.88,1,1,5,4,223,230,40,52,44.6,5.64,40,102,57.5,25.9,0.0,0.329,0.243,0.14,0.0,0.329,0.217,0.153,1,0,0,0,0,0,0.0,214.167.53.88,Schneider Electric,PLC:TM241CE24T_U,Schneider,10
