ip,port,round,start_time,end_time,response,country
85.163.127.212,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
77.192.195.121,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
214.81.82.21,502,3,2023/7/24 10:19:04,2023/7/24 10:19:04,successful,China
104.221.13.8,502,3,2023/7/24 10:19:04,2023/7/24 10:19:04,ILLEGAL_FUNCTION: Exception Code = 1,China
172.66.152.101,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
16.54.42.131,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
158.136.49.225,502,3,2023/7/24 10:19:01,2023/7/24 10:19:04,java.net.SocketTimeoutException: connect timed out,China
94.65.223.158,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
93.85.63.162,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
81.115.109.241,502,3,2023/7/24 10:18:59,2023/7/24 10:19:04,java.net.SocketTimeoutException: Read timed out,China
74.70.195.37,502,3,2023/7/24 10:19:04,2023/7/24 10:19:04,ILLEGAL_FUNCTION: Exception Code = 1,China
12.19.233.224,502,3,2023/7/24 10:19:04,2023/7/24 10:19:04,ILLEGAL_FUNCTION: Exception Code = 1,China
212.136.196.193,502,3,2023/7/24 10:19:03,2023/7/24 10:19:04,ILLEGAL_FUNCTION: Exception Code = 1,China
1.24.66.4,502,3,2023/7/24 10:19:04,2023/7/24 10:19:04,"6 bytes expected, but 0 received.",China
